"uniqueID","siteID","SiteNo"
5243700,1438648,17
5243700,9696879,1
5243700,2841324,13
6232919,4692690,26
6522948,3152329,25
7212049,5897267,25
9944785,5305683,1
9944785,8287501,21
9944785,6954411,12
9944785,9057534,23
9944785,6648012,10
9944785,7144229,8
9944785,8617552,17
9944785,7100903,26
9944785,3465507,13
9649365,3557337,4
5996765,2189617,23
5996765,6705866,29
5996765,7164463,13
5996765,5757950,9
5996765,4797120,16
5996765,6963772,30
5996765,2720667,14
5996765,4627584,22
5996765,5364318,2
5996765,2964370,18
5996765,7579996,15
5996765,5832175,26
5996765,4001893,8
6834493,2198300,28
9457892,5024623,24
9457892,7250455,20
2024256,9291358,3
2024256,4471736,28
2024256,8872081,20
2024256,5526147,24
5616625,4130374,29
3335597,4275708,25
3335597,7614875,11
9571148,9851784,20
6033143,2438318,9
3281929,6336032,10
3281929,4677292,11
3281929,6458948,22
3281929,1657518,1
9888159,3339119,11
9888159,6481828,3
9888159,5839619,5
9888159,8101519,6
9888159,5481601,17
1235081,5766208,17
2517775,7591244,8
1557628,8421227,10
9978444,8152838,8
5570118,3421978,12
5853644,4293624,4
1151005,9444893,18
5261126,6716294,28
5261126,2094921,22
5261126,7702803,25
5261126,4432930,16
5261126,4983276,7
5261126,7527303,3
5261126,7638859,4
8245677,6411927,18
8245677,5511126,15
8245677,3269728,19
8245677,2515525,25
3186191,9378793,30
3186191,5105674,17
3186191,6517576,15
3186191,7691984,2
3186191,4473741,1
3186191,8431436,22
3186191,7682104,4
3186191,6261464,23
3186191,3795999,5
3186191,9241109,13
2198046,8433141,5
2198046,3041724,6
2198046,6257507,2
2998278,6899926,19
2998278,9494249,15
2998278,1872971,2
2998278,9301596,10
2998278,2151907,16
2998278,4879430,22
2998278,9772866,18
3556460,8198663,3
5993828,5439969,12
9183453,8845526,15
9183453,4890877,1
9111255,3403241,8
8203856,6762541,4
2063094,1085705,13
7135401,6674206,16
2608780,5492698,11
2608780,7182880,26
2643098,6104000,12
7100100,8145149,1
9481689,6689973,30
9481689,5822766,2
3375996,2953171,3
8580148,3590752,30
3344006,3189063,15
1840340,1193498,3
1840340,9701297,13
1840340,4568484,8
1840340,9544607,22
1840340,8695637,26
3748245,7392696,13
5178116,7816964,7
2533315,8165274,8
2533315,7949112,3
5712017,5539951,22
8602622,1217819,23
3102011,2166498,19
9732197,4754450,16
9342857,3885773,21
9342857,1352981,20
9342857,2811859,5
8743265,5367576,13
3399030,2488603,17
3399030,6718639,4
7930489,9970746,19
7991381,6445934,9
6218336,8724694,5
6218336,8794990,3
6218336,5583236,12
6218336,8664498,11
2225613,2164063,11
7999254,8524935,9
1140526,6461041,21
1315205,6983756,23
5354481,8848297,24
5354481,4855162,22
5354481,6956918,3
5354481,1795878,2
5354481,3834969,1
5354481,9573254,26
5354481,2126255,5
5354481,2699192,14
5354481,2203754,11
5354481,7500859,6
3982964,1221893,28
3982964,1447297,6
3982964,2390339,27
2845236,4197897,19
2845236,5617258,26
7645590,9052564,7
7645590,2417825,16
9427386,8666560,1
9427386,5387340,17
9427386,1334174,23
9427386,2060256,10
9427386,2205498,2
9427386,8182017,27
8671200,9584842,18
8671200,1010341,17
3201947,4419447,8
3201947,8429245,29
3201947,7068153,5
3201947,8781945,24
3201947,3089821,19
3201947,9772172,10
5307063,3757684,3
5307063,6003155,7
5307063,7255321,17
5307063,3516246,14
5307063,5712873,4
5307063,4556620,25
5307063,7062029,15
5307063,3413385,6
5307063,3033432,21
5307063,1910628,30
5307063,2633175,20
9867200,4668612,20
6761495,7320787,21
6761495,5789113,29
6761495,7890118,26
6761495,1802127,25
8316043,7091043,4
8316043,6682879,22
7696580,2298779,10
4421278,4199331,1
8486275,3207539,22
8486275,6583495,29
8486275,4522648,14
8486275,4128825,21
8486275,4856884,23
8486275,8667071,17
8486275,9160021,20
8486275,4227575,18
8486275,2251885,15
8486275,7561747,5
8486275,8144738,10
8486275,9617576,16
8486275,7384627,11
9896813,9408371,6
1077518,8121519,8
9599922,3516754,21
9367084,4417852,24
6413774,9397361,28
